Food code,Main food description,Food description
25160000,Tongue,The image shows the food category of tongue.
25160130,"Tongue pot roast, Puerto Rican style","The image shows the food category of tongue pot roast, Puerto Rican style. Additional details include lengua al caldero."
25170110,Tripe,The image shows the food category of tripe.
25170210,Chitterlings,The image shows the food category of chitterlings.
25170310,Hog maws,The image shows the food category of hog maws.
25170420,Gizzard,The image shows the food category of gizzard. Additional details include giblets.
25210110,"Hot dog, not further specified subcategory assigned","The image shows the food category of hot dog, not further specified subcategory assigned."
25210210,"Hot dog, beef","The image shows the food category of hot dog, beef."
25210280,"Hot dog, meat and poultry","The image shows the food category of hot dog, meat and poultry. Additional details include regular; pork."
25210290,"Hot dog, reduced fat","The image shows the food category of hot dog, reduced fat. Additional details include fat free; reduced sodium."
25210410,"Hot dog, turkey","The image shows the food category of hot dog, turkey. Additional details include chicken."
25220105,Beef sausage,"The image shows the food category of beef sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; half smoke."
25220106,"Beef sausage, reduced fat","The image shows the food category of beef sausage, reduced fat. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; lowfat or low fat; light or lite."
25220108,"Beef sausage, reduced sodium","The image shows the food category of beef sausage, reduced sodium. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; half smoke; less or lower sodium."
25220150,Beef sausage with cheese,The image shows the food category of beef sausage with cheese.
25220210,Blood sausage,The image shows the food category of blood sausage. Additional details include blutwurst; blood pudding.
25220350,Bratwurst,"The image shows the food category of bratwurst. Additional details include all meats (pork, beef, chicken, turkey)."
25220360,"Bratwurst, with cheese","The image shows the food category of bratwurst, with cheese."
25220410,Bologna,"The image shows the food category of bologna. Additional details include bologna, not further specified subcategory assigned."
25220425,"Bologna, reduced fat","The image shows the food category of bologna, reduced fat. Additional details include light; low fat; fat free."
25220435,"Bologna, reduced sodium","The image shows the food category of bologna, reduced sodium. Additional details include unsalted; no salt added; reduced fat."
25220650,Turkey or chicken and beef sausage,"The image shows the food category of turkey or chicken and beef sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage."
25220710,Chorizo,The image shows the food category of chorizo. Additional details include spanish sausage; lenguica; Portuguese sausage; all meats / poultry.
25220910,Head cheese,The image shows the food category of head cheese. Additional details include jellied pork; hog's head cheese; pork head cheese.
25221110,Knockwurst,The image shows the food category of knockwurst. Additional details include knoblauch; all meats / poultry.
25221210,Mortadella,The image shows the food category of mortadella.
25221215,"Pastrami, not further specified subcategory assigned","The image shows the food category of pastrami, not further specified subcategory assigned. Additional details include made from any kind of meat."
25221220,"Pastrami, made from any kind of meat, reduced fat","The image shows the food category of pastrami, made from any kind of meat, reduced fat. Additional details include low fat; lean; fat free."
25221250,"Pepperoni, not further specified subcategory assigned","The image shows the food category of pepperoni, not further specified subcategory assigned."
25221255,"Pepperoni, reduced fat","The image shows the food category of pepperoni, reduced fat. Additional details include low fat; lean; fat free."
25221260,"Pepperoni, reduced sodium","The image shows the food category of pepperoni, reduced sodium. Additional details include lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25221310,Polish sausage,The image shows the food category of polish sausage. Additional details include kielbasa; all meats / poultry.
25221350,Italian sausage,The image shows the food category of italian sausage. Additional details include hot links; all meats / poultry.
25221400,"Sausage, not further specified subcategory assigned","The image shows the food category of sausage, not further specified subcategory assigned. Additional details include not cold cut."
25221405,Pork sausage,"The image shows the food category of pork sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage, not specified subcategory as to meat; brown and serve sausage, not further specified subcategory assigned; smoked sausage, not further specified subcategory assigned; Half smoke."
25221406,"Pork sausage, reduced fat","The image shows the food category of pork sausage, reduced fat. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; lowfat or low fat; light or lite."
25221408,"Pork sausage, reduced sodium","The image shows the food category of pork sausage, reduced sodium. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage, not specified subcategory as to meat; brown and serve sausage, not further specified subcategory assigned; smoked sausage, not further specified subcategory assigned; Half smoke; less or lower sodium."
25221450,Pork sausage rice links,"The image shows the food category of pork sausage rice links. Additional details include jones Dairy Farm light links; fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage."
25221460,Pork and beef sausage,"The image shows the food category of pork and beef sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; Half smoke."
25221500,"Salami, not further specified subcategory assigned","The image shows the food category of salami, not further specified subcategory assigned. Additional details include any kind or variety; made from any type of meat."
25221505,"Salami, made from any type of meat, reduced fat","The image shows the food category of salami, made from any type of meat, reduced fat. Additional details include any kind or variety; low fat; lean; fat free."
25221515,"Salami, made from any type of meat, reduced sodium","The image shows the food category of salami, made from any type of meat, reduced sodium. Additional details include any kind or variety; lightly salted; unsalted; no salt added."
25221610,"Scrapple, cooked","The image shows the food category of scrapple, cooked."
25221810,Thuringer,The image shows the food category of thuringer. Additional details include summer sausage.
25221830,Turkey or chicken sausage,"The image shows the food category of turkey or chicken sausage. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage."
25221855,"Turkey or chicken sausage, reduced sodium","The image shows the food category of turkey or chicken sausage, reduced sodium. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; less or lower sodium."
25221860,"Turkey or chicken sausage, reduced fat","The image shows the food category of turkey or chicken sausage, reduced fat. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; lowfat or low fat; light or lite."
25221870,Turkey or chicken and pork sausage,"The image shows the food category of turkey or chicken and pork sausage. Additional details include jimmy Dean Light Turkey and Pork, 77% Fat Free, Sausage; fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage."
25221875,"Turkey or chicken, pork, and beef sausage, reduced sodium","The image shows the food category of turkey or chicken, pork, and beef sausage, reduced sodium. Additional details include fresh, smoked, heat and serve, brown and serve, pre-cooked, or not further specified subcategory assigned; bulk, crumbled, link, patty, or stick; breakfast sausage; less or lower sodium."
25221910,"Vienna sausage, canned","The image shows the food category of vienna sausage, canned. Additional details include beef, pork, and chicken."
25221950,Pickled sausage,The image shows the food category of pickled sausage. Additional details include penrose hot or firecracker sausage.
25230110,"Luncheon meat, not further specified subcategory assigned","The image shows the food category of luncheon meat, not further specified subcategory assigned. Additional details include cold cut, not further specified subcategory assigned."
25230210,"Ham, prepackaged or deli, luncheon meat","The image shows the food category of ham, prepackaged or deli, luncheon meat. Additional details include boiled ham; all fat levels - regular, reduced fat, low fat or fat free; lean or extra lean; ham lunch meat, not further specified subcategory assigned."
25230220,"Ham, prepackaged or deli, luncheon meat, reduced sodium","The image shows the food category of ham, prepackaged or deli, luncheon meat, reduced sodium. Additional details include low salt boiled ham; lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25230320,"Chicken, prepackaged or deli, luncheon meat","The image shows the food category of chicken, prepackaged or deli, luncheon meat. Additional details include breast, loaf, chicken lunch meat, not further specified subcategory assigned; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25230340,"Chicken, prepackaged or deli, luncheon meat, reduced sodium","The image shows the food category of chicken, prepackaged or deli, luncheon meat, reduced sodium. Additional details include lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25230420,"Ham luncheon meat, loaf type","The image shows the food category of ham luncheon meat, loaf type. Additional details include ham loaf; ham and cheese loaf; ham sausage; hamettes; chopped, minced, pressed, spiced ham, not canned."
25230530,Spam,The image shows the food category of spam. Additional details include treet.
25230550,"Spam, reduced sodium","The image shows the food category of spam, reduced sodium. Additional details include treet; reduced fat."
25230560,Liverwurst,The image shows the food category of liverwurst. Additional details include liver cheese; Braunschweiger; liver sausage; liver loaf; liver  pudding; liver bacon; goose bacon; goose liver sausage; liver mush.
25230610,"Luncheon meat, loaf type","The image shows the food category of luncheon meat, loaf type. Additional details include olive, pickle, or pimiento loaf; old fashioned loaf, Dutch loaf, pepperloaf, praski, honey loaf, veal loaf."
25230780,"Turkey, prepackaged or deli, luncheon meat","The image shows the food category of turkey, prepackaged or deli, luncheon meat. Additional details include breast, loaf, turkey lunch meat, not further specified subcategory assigned; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25230785,"Turkey, prepackaged or deli, luncheon meat, reduced sodium","The image shows the food category of turkey, prepackaged or deli, luncheon meat, reduced sodium. Additional details include lightly salted; unsalted; no salt added; all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25230800,"Turkey ham, prepackaged or deli, luncheon meat","The image shows the food category of turkey ham, prepackaged or deli, luncheon meat. Additional details include all fat levels - regular, reduced fat, low fat, or fat free; lean or extra lean."
25231110,"Beef, prepackaged or deli, luncheon meat","The image shows the food category of beef, prepackaged or deli, luncheon meat. Additional details include deli roast beef."
25231120,"Beef, prepackaged or deli, luncheon meat, reduced sodium","The image shows the food category of beef, prepackaged or deli, luncheon meat, reduced sodium. Additional details include deli roast beef; lightly salted; unsalted; no salt added."
25240000,"Meat spread or potted meat, not further specified subcategory assigned","The image shows the food category of meat spread or potted meat, not further specified subcategory assigned. Additional details include beef, pork, ham, any type of meat."
25240110,Chicken salad spread,The image shows the food category of chicken salad spread.
25240220,Ham salad spread,The image shows the food category of ham salad spread.
26100100,"Fish, raw","The image shows the food category of fish, raw. Additional details include any type other than salmon or tuna."
26100110,"Fish, not further specified subcategory assigned","The image shows the food category of fish, not further specified subcategory assigned."
26100120,"Fish, not specified subcategory as to type, baked or broiled","The image shows the food category of fish, not specified subcategory as to type, baked or broiled. Additional details include sauteed; grilled; not specified subcategory as to coated."
26100130,"Fish, not specified subcategory as to type, baked or broiled, coated","The image shows the food category of fish, not specified subcategory as to type, baked or broiled, coated."
26100140,"Fish, not specified subcategory as to type, fried","The image shows the food category of fish, not specified subcategory as to type, fried."
26100160,"Fish, not specified subcategory as to type, steamed","The image shows the food category of fish, not specified subcategory as to type, steamed. Additional details include poached."
26100180,"Fish, canned","The image shows the food category of fish, canned. Additional details include any type other than salmon or tuna."
26100190,"Fish, smoked","The image shows the food category of fish, smoked. Additional details include any type other than salmon; dried."
26100270,"Fish, stick","The image shows the food category of fish, stick. Additional details include nugget."
26101110,"Fish, anchovy","The image shows the food category of fish, anchovy."
26105110,"Fish, carp","The image shows the food category of fish, carp."
26107110,"Fish, catfish, not further specified subcategory assigned","The image shows the food category of fish, catfish, not further specified subcategory assigned."
26107120,"Fish, catfish, baked or broiled","The image shows the food category of fish, catfish, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26107123,"Fish, catfish, grilled","The image shows the food category of fish, catfish, grilled."
26107130,"Fish, catfish, baked or broiled, coated","The image shows the food category of fish, catfish, baked or broiled, coated."
26107140,"Fish, catfish, fried","The image shows the food category of fish, catfish, fried."
26107160,"Fish, catfish, steamed","The image shows the food category of fish, catfish, steamed. Additional details include poached."
26109110,"Fish, cod, not further specified subcategory assigned","The image shows the food category of fish, cod, not further specified subcategory assigned."
26109120,"Fish, cod, baked or broiled","The image shows the food category of fish, cod, baked or broiled. Additional details include sauteed: not specified subcategory as to coated."
26109123,"Fish, cod, grilled","The image shows the food category of fish, cod, grilled."
26109130,"Fish, cod, baked or broiled, coated","The image shows the food category of fish, cod, baked or broiled, coated."
26109140,"Fish, cod, fried","The image shows the food category of fish, cod, fried."
26109160,"Fish, cod, steamed","The image shows the food category of fish, cod, steamed. Additional details include poached."
26111110,"Fish, croaker","The image shows the food category of fish, croaker. Additional details include kingfish."
26113110,"Fish, eel","The image shows the food category of fish, eel."
26115110,"Fish, flounder, not further specified subcategory assigned","The image shows the food category of fish, flounder, not further specified subcategory assigned. Additional details include sole; flatfish."
26115120,"Fish, flounder, baked or broiled","The image shows the food category of fish, flounder, baked or broiled. Additional details include sauteed; sole; flatfish; not specified subcategory as to coated."
26115123,"Fish, flounder, grilled","The image shows the food category of fish, flounder, grilled. Additional details include sole; flatfish."
26115130,"Fish, flounder, baked or broiled, coated","The image shows the food category of fish, flounder, baked or broiled, coated. Additional details include sole; flatfish."
26115140,"Fish, flounder, fried","The image shows the food category of fish, flounder, fried. Additional details include sole; flatfish."
26115160,"Fish, flounder, steamed","The image shows the food category of fish, flounder, steamed. Additional details include sole; flatfish; poached."
26117110,"Fish, haddock, not further specified subcategory assigned","The image shows the food category of fish, haddock, not further specified subcategory assigned. Additional details include pollock; scrod."
26117120,"Fish, haddock, baked or broiled","The image shows the food category of fish, haddock, baked or broiled. Additional details include sauteed; pollock; scrod; not specified subcategory as to coated."
26117121,"Fish, haddock, grilled","The image shows the food category of fish, haddock, grilled. Additional details include pollock; scrod."
26117130,"Fish, haddock, baked or broiled, coated","The image shows the food category of fish, haddock, baked or broiled, coated. Additional details include pollock; scrod."
26117140,"Fish, haddock, fried","The image shows the food category of fish, haddock, fried. Additional details include pollock; scrod."
26117160,"Fish, haddock, steamed","The image shows the food category of fish, haddock, steamed. Additional details include pollock; scrod; poached."
26118010,"Fish, halibut","The image shows the food category of fish, halibut."
26119110,"Fish, herring","The image shows the food category of fish, herring. Additional details include milkfish."
26119180,"Fish, pickled","The image shows the food category of fish, pickled. Additional details include any type."
26121110,"Fish, mackerel, not further specified subcategory assigned","The image shows the food category of fish, mackerel, not further specified subcategory assigned. Additional details include wahoo; jack."
26121120,"Fish, mackerel, baked or broiled","The image shows the food category of fish, mackerel, baked or broiled. Additional details include sauteed; wahoo; jack; not specified subcategory as to coated."
26121121,"Fish, mackerel, grilled","The image shows the food category of fish, mackerel, grilled. Additional details include wahoo; jack."
26121131,"Fish, mackerel, baked or broiled, coated","The image shows the food category of fish, mackerel, baked or broiled, coated. Additional details include wahoo; jack."
26121140,"Fish, mackerel, fried","The image shows the food category of fish, mackerel, fried. Additional details include wahoo; jack."
26121180,"Fish, mackerel, canned","The image shows the food category of fish, mackerel, canned."
26123110,"Fish, mullet","The image shows the food category of fish, mullet."
26127110,"Fish, perch, not further specified subcategory assigned","The image shows the food category of fish, perch, not further specified subcategory assigned. Additional details include crappie; walleye; orange roughy; redfish; rockfish."
26127120,"Fish, perch, baked or broiled","The image shows the food category of fish, perch, baked or broiled. Additional details include sauteed; crappie; walleye; orange roughy; redfish; rockfish; not specified subcategory as to coated."
26127123,"Fish, perch, grilled","The image shows the food category of fish, perch, grilled. Additional details include crappie; walleye; orange roughy; redfish; rockfish."
26127130,"Fish, perch, baked or broiled, coated","The image shows the food category of fish, perch, baked or broiled, coated. Additional details include crappie; walleye; orange roughy; redfish; rockfish."
26127140,"Fish, perch, fried","The image shows the food category of fish, perch, fried. Additional details include crappie; walleye; orange roughy; redfish; rockfish."
26127160,"Fish, perch, steamed","The image shows the food category of fish, perch, steamed. Additional details include orange roughy; redfish; rockfish; crappie; walleye; poached."
26129110,"Fish, pike","The image shows the food category of fish, pike."
26131110,"Fish, pompano, not further specified subcategory assigned","The image shows the food category of fish, pompano, not further specified subcategory assigned. Additional details include butterfish; mahimahi."
26131120,"Fish, pompano, baked or broiled","The image shows the food category of fish, pompano, baked or broiled. Additional details include sauteed; butterfish; mahimahi; not specified subcategory as to coated."
26131121,"Fish, pompano, grilled","The image shows the food category of fish, pompano, grilled. Additional details include butterfish; mahimahi."
26131130,"Fish, pompano, baked or broiled, coated","The image shows the food category of fish, pompano, baked or broiled, coated. Additional details include butterfish; mahimahi."
26131140,"Fish, pompano, fried","The image shows the food category of fish, pompano, fried. Additional details include butterfish; mahimahi."
26131160,"Fish, pompano, steamed","The image shows the food category of fish, pompano, steamed. Additional details include butterfish; mahimahi; poached."
26133110,"Fish, snapper","The image shows the food category of fish, snapper. Additional details include porgy."
26137100,"Fish, salmon, raw","The image shows the food category of fish, salmon, raw. Additional details include sashimi."
26137110,"Fish, salmon, not further specified subcategory assigned","The image shows the food category of fish, salmon, not further specified subcategory assigned."
26137120,"Fish, salmon, baked or broiled","The image shows the food category of fish, salmon, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26137123,"Fish, salmon, grilled","The image shows the food category of fish, salmon, grilled."
26137130,"Fish, salmon, baked or broiled, coated","The image shows the food category of fish, salmon, baked or broiled, coated."
26137140,"Fish, salmon, fried","The image shows the food category of fish, salmon, fried."
26137160,"Fish, salmon, steamed","The image shows the food category of fish, salmon, steamed. Additional details include poached."
26137180,"Fish, salmon, canned","The image shows the food category of fish, salmon, canned."
26137190,"Fish, salmon, smoked","The image shows the food category of fish, salmon, smoked. Additional details include lox."
26139180,"Fish, sardines, canned","The image shows the food category of fish, sardines, canned."
26141110,"Fish, bass, not further specified subcategory assigned","The image shows the food category of fish, bass, not further specified subcategory assigned. Additional details include grouper."
26141120,"Fish, bass, baked or broiled","The image shows the food category of fish, bass, baked or broiled. Additional details include sauteed; grouper; not specified subcategory as to coated."
26141121,"Fish, bass, grilled","The image shows the food category of fish, bass, grilled. Additional details include grouper."
26141130,"Fish, bass, baked or broiled, coated","The image shows the food category of fish, bass, baked or broiled, coated. Additional details include grouper."
26141140,"Fish, bass, fried","The image shows the food category of fish, bass, fried. Additional details include grouper."
26141160,"Fish, bass, steamed","The image shows the food category of fish, bass, steamed. Additional details include grouper; poached."
26143110,"Fish, shark","The image shows the food category of fish, shark."
26149110,"Fish, swordfish","The image shows the food category of fish, swordfish. Additional details include marlin."
26151110,"Fish, trout, not further specified subcategory assigned","The image shows the food category of fish, trout, not further specified subcategory assigned."
26151120,"Fish, trout, baked or broiled","The image shows the food category of fish, trout, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26151123,"Fish, trout, grilled","The image shows the food category of fish, trout, grilled."
26151130,"Fish, trout, baked or broiled, coated","The image shows the food category of fish, trout, baked or broiled, coated."
26151140,"Fish, trout, fried","The image shows the food category of fish, trout, fried."
26151160,"Fish, trout, steamed","The image shows the food category of fish, trout, steamed. Additional details include poached."
26153100,"Fish, tuna, raw","The image shows the food category of fish, tuna, raw. Additional details include ahi."
26153110,"Fish, tuna, not further specified subcategory assigned","The image shows the food category of fish, tuna, not further specified subcategory assigned. Additional details include ahi."
26153120,"Fish, tuna, cooked","The image shows the food category of fish, tuna, cooked. Additional details include ahi."
26155110,"Fish, tuna, canned","The image shows the food category of fish, tuna, canned."
26157110,"Fish, whiting, not further specified subcategory assigned","The image shows the food category of fish, whiting, not further specified subcategory assigned."
26157120,"Fish, whiting, baked or broiled","The image shows the food category of fish, whiting, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26157123,"Fish, whiting, grilled","The image shows the food category of fish, whiting, grilled."
26157130,"Fish, whiting, baked or broiled, coated","The image shows the food category of fish, whiting, baked or broiled, coated."
26157140,"Fish, whiting, fried","The image shows the food category of fish, whiting, fried."
26157160,"Fish, whiting, steamed","The image shows the food category of fish, whiting, steamed. Additional details include poached."
26158000,"Fish, tilapia, not further specified subcategory assigned","The image shows the food category of fish, tilapia, not further specified subcategory assigned."
26158010,"Fish, tilapia, baked or broiled","The image shows the food category of fish, tilapia, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26158013,"Fish, tilapia, grilled","The image shows the food category of fish, tilapia, grilled."
26158020,"Fish, tilapia, baked or broiled, coated","The image shows the food category of fish, tilapia, baked or broiled, coated."
26158030,"Fish, tilapia, fried","The image shows the food category of fish, tilapia, fried."
26158050,"Fish, tilapia, steamed","The image shows the food category of fish, tilapia, steamed. Additional details include poached."
26158100,"Fish, white, mixed species, not further specified subcategory assigned","The image shows the food category of fish, white, mixed species, not further specified subcategory assigned."
26158110,"Fish, white, mixed species, baked or broiled","The image shows the food category of fish, white, mixed species, baked or broiled. Additional details include sauteed; not specified subcategory as to coated."
26158120,"Fish, white, mixed species, baked or broiled, coated","The image shows the food category of fish, white, mixed species, baked or broiled, coated."
26158130,"Fish, white, mixed species, fried","The image shows the food category of fish, white, mixed species, fried."
26158140,"Fish, white, mixed species, steamed","The image shows the food category of fish, white, mixed species, steamed. Additional details include poached."
26158150,"Fish, white, mixed species, grilled","The image shows the food category of fish, white, mixed species, grilled."
26203110,Frog legs,The image shows the food category of frog legs.
26205110,Octopus,The image shows the food category of octopus.
26211100,Caviar,The image shows the food category of caviar. Additional details include roe.
26213120,"Calamari, cooked","The image shows the food category of calamari, cooked. Additional details include cuttlefish; squid; cooking method other than fried."
26213140,"Calamari, fried","The image shows the food category of calamari, fried. Additional details include cuttlefish; squid; calamari, not further specified subcategory assigned."
26215120,Turtle,The image shows the food category of turtle.
26300000,"Shellfish, not further specified subcategory assigned","The image shows the food category of shellfish, not further specified subcategory assigned."
26301110,Abalone,The image shows the food category of abalone.
26303100,"Clams, raw","The image shows the food category of clams, raw."
26303110,"Clams, not further specified subcategory assigned","The image shows the food category of clams, not further specified subcategory assigned."
26303120,"Clams, baked or broiled","The image shows the food category of clams, baked or broiled. Additional details include sauteed; with or without coating."
26303140,"Clams, fried","The image shows the food category of clams, fried. Additional details include clam strips."
26303160,"Clams, steamed or boiled","The image shows the food category of clams, steamed or boiled."
26303180,"Clams, canned","The image shows the food category of clams, canned."
26305160,Crab,The image shows the food category of crab.
26305180,"Crab, canned","The image shows the food category of crab, canned."
26307140,"Crab, soft shell","The image shows the food category of crab, soft shell."
26309140,"Crayfish, fried","The image shows the food category of crayfish, fried. Additional details include crawfish."
26309160,"Crayfish, cooked","The image shows the food category of crayfish, cooked. Additional details include crawfish; cooking method other than fried; crayfish, not further specified subcategory assigned."
26311110,Lobster,The image shows the food category of lobster.
26313110,Mussels,The image shows the food category of mussels.
26315100,"Oysters, raw","The image shows the food category of oysters, raw."
26315120,"Oysters, baked or broiled","The image shows the food category of oysters, baked or broiled. Additional details include sauteed; with or without coating."
26315130,"Oysters, steamed","The image shows the food category of oysters, steamed."
26315140,"Oysters, fried","The image shows the food category of oysters, fried."
26315180,"Oysters, canned","The image shows the food category of oysters, canned."
26317120,"Scallops, baked or broiled","The image shows the food category of scallops, baked or broiled. Additional details include sauteed; with or without coating."
26317121,"Scallops, grilled","The image shows the food category of scallops, grilled."
26317130,"Scallops, steamed or boiled","The image shows the food category of scallops, steamed or boiled."
26317140,"Scallops, fried","The image shows the food category of scallops, fried."
26319110,"Shrimp, not further specified subcategory assigned","The image shows the food category of shrimp, not further specified subcategory assigned. Additional details include prawn."
26319120,"Shrimp, baked or broiled","The image shows the food category of shrimp, baked or broiled. Additional details include sauteed; prawn; not specified subcategory as to coated."
26319123,"Shrimp, grilled","The image shows the food category of shrimp, grilled. Additional details include prawn."
26319130,"Shrimp, steamed or boiled","The image shows the food category of shrimp, steamed or boiled. Additional details include prawn."
26319140,"Shrimp, fried","The image shows the food category of shrimp, fried. Additional details include prawn; popcorn shrimp."
26319160,"Shrimp, baked or broiled, coated","The image shows the food category of shrimp, baked or broiled, coated. Additional details include prawn."
26319170,"Shrimp, dried","The image shows the food category of shrimp, dried."
26319180,"Shrimp, canned","The image shows the food category of shrimp, canned."
26321110,Escargot,The image shows the food category of escargot. Additional details include snails.
27100100,"Barbecue meat, not further specified subcategory assigned","The image shows the food category of barbecue meat, not further specified subcategory assigned. Additional details include bbq; with or without sauce."
27111000,Beef with tomato-based sauce,The image shows the food category of beef with tomato-based sauce. Additional details include beef with tomatoes.
27111100,Beef goulash,The image shows the food category of beef goulash.
27111200,Beef burgundy,The image shows the food category of beef burgundy. Additional details include beef bourguignonne.
27111300,"Beef stew, no potatoes, tomato-based sauce, Mexican style","The image shows the food category of beef stew, no potatoes, tomato-based sauce, Mexican style. Additional details include carne guisada sin papas."
27111400,"Chili con carne, not specified subcategory as to beans","The image shows the food category of chili con carne, not specified subcategory as to beans."
27111405,"Chili con carne with beans, from restaurant","The image shows the food category of chili con carne with beans, from restaurant. Additional details include fast food; other place."
27111406,"Chili con carne with beans, home recipe","The image shows the food category of chili con carne with beans, home recipe."
27111407,"Chili con carne with beans, canned","The image shows the food category of chili con carne with beans, canned. Additional details include microwavable tub; frozen; chili beef soup, regular or chunky style."
27111410,Chili con carne with beans,"The image shows the food category of chili con carne with beans. Additional details include kidney beans and hamburger with tomato sauce; chili, not further specified subcategory assigned."
27111420,Chili con carne without beans,"The image shows the food category of chili con carne without beans. Additional details include coney island sauce; chili served on hot dogs, hamburgers or french fries."
27111430,"Chili con carne, not specified subcategory as to beans, with cheese","The image shows the food category of chili con carne, not specified subcategory as to beans, with cheese."
27111440,Chili con carne with beans and cheese,The image shows the food category of chili con carne with beans and cheese.
27111500,"Sloppy joe, no bun","The image shows the food category of sloppy joe, no bun. Additional details include manwich."
27112000,Beef with gravy,The image shows the food category of beef with gravy. Additional details include country style.
27112010,Salisbury steak with gravy,The image shows the food category of salisbury steak with gravy. Additional details include banquet Salisbury Steak with Gravy.
27113000,Beef with cream or white sauce,The image shows the food category of beef with cream or white sauce.
27113100,Beef stroganoff,The image shows the food category of beef stroganoff.
27113200,Creamed chipped or dried beef,The image shows the food category of creamed chipped or dried beef.
27113300,Swedish meatballs with cream or white sauce,The image shows the food category of swedish meatballs with cream or white sauce.
27114000,Beef with mushroom sauce,The image shows the food category of beef with mushroom sauce.
27115000,Beef with soy-based sauce,The image shows the food category of beef with soy-based sauce.
27115100,Steak teriyaki,The image shows the food category of steak teriyaki. Additional details include soy-based sauce.
27116100,Beef curry,The image shows the food category of beef curry. Additional details include lamb; mutton; goat; pork.
27116110,Beef curry with rice,The image shows the food category of beef curry with rice. Additional details include lamb; mutton; goat; pork.
27116200,"Barbecue beef, with sauce","The image shows the food category of barbecue beef, with sauce. Additional details include bbq; shredded or pulled; not specified subcategory as to sauce."
27116210,"Barbecue beef, no sauce","The image shows the food category of barbecue beef, no sauce. Additional details include bbq; shredded or pulled."
27116300,Beef with sweet and sour sauce,The image shows the food category of beef with sweet and sour sauce.
27116350,"Stewed seasoned ground beef, Mexican style","The image shows the food category of stewed seasoned ground beef, Mexican style. Additional details include picadillo de carne de res."
27116400,Steak tartare,The image shows the food category of steak tartare.
27118110,"Meatballs, Puerto Rican style","The image shows the food category of meatballs, Puerto Rican style. Additional details include albondigas guisadas."
27118120,"Stewed seasoned ground beef, Puerto Rican style","The image shows the food category of stewed seasoned ground beef, Puerto Rican style. Additional details include carne molida guisada; Picadillo guisado; Picadillo de carne; Picadillo para relleno."
27118130,"Stewed dried beef, Puerto Rican style","The image shows the food category of stewed dried beef, Puerto Rican style. Additional details include ropa vieja; Tasajo guisado; Carne cecina guisada."
27118140,"Stuffed pot roast, Puerto Rican style, not further specified subcategory assigned","The image shows the food category of stuffed pot roast, Puerto Rican style, not further specified subcategory assigned. Additional details include carne mechada; Lechon de mechar; with gravy and stuffing."
27118180,"Beef stew, meat with gravy, no potatoes, Puerto Rican style","The image shows the food category of beef stew, meat with gravy, no potatoes, Puerto Rican style. Additional details include carne guisada."
27120020,Ham or pork with gravy,The image shows the food category of ham or pork with gravy.
